WARNING:root:Automatically setting rho to 0.206
INFO:root:Iteration 630, violation 2.649
INFO:root:Iteration 631, violation 2.617
INFO:root:Iteration 632, violation 2.581
INFO:root:Iteration 633, violation 2.541
INFO:root:Iteration 634, violation 2.497
INFO:root:Iteration 635, violation 2.448
INFO:root:Iteration 636, violation 2.396
INFO:root:Iteration 637, violation 2.339
INFO:root:Iteration 638, violation 2.279
INFO:root:Iteration 639, violation 2.215
INFO:root:Iteration 640, violation 2.147
INFO:root:Iteration 641, violation 2.076
INFO:root:Iteration 642, violation 2.001
INFO:root:Iteration 643, violation 1.960
INFO:root:Iteration 644, violation 1.946
INFO:root:Iteration 645, violation 1.930
INFO:root:Iteration 646, violation 1.912
INFO:root:Iteration 647, violation 1.891
INFO:root:Iteration 648, violation 1.867
INFO:root:Iteration 649, violation 1.841
INFO:root:Iteration 650, violation 1.811
INFO:root:Iteration 651, violation 1.781
INFO:root:Iteration 652, violation 1.812
INFO:root:Iteration 653, violation 1.839
INFO:root:Iteration 654, violation 1.861
INFO:root:Iteration 655, violation 1.879
INFO:root:Iteration 656, violation 1.893
INFO:root:Iteration 657, violation 1.903
INFO:root:Iteration 658, violation 1.909
INFO:root:Iteration 659, violation 1.917
INFO:root:Iteration 660, violation 1.925
INFO:root:Iteration 661, violation 1.929
INFO:root:Iteration 662, violation 1.929
INFO:root:Iteration 663, violation 1.957
INFO:root:Iteration 664, violation 1.990
INFO:root:Iteration 665, violation 2.018
INFO:root:Iteration 666, violation 2.040
INFO:root:Iteration 667, violation 2.057
INFO:root:Iteration 668, violation 2.068
INFO:root:Iteration 669, violation 2.073
INFO:root:Iteration 670, violation 2.073
INFO:root:Iteration 671, violation 2.068
INFO:root:Iteration 672, violation 2.057
INFO:root:Iteration 673, violation 2.041
INFO:root:Iteration 674, violation 2.020
INFO:root:Iteration 675, violation 1.994
INFO:root:Iteration 676, violation 1.964
INFO:root:Iteration 677, violation 1.929
INFO:root:Iteration 678, violation 1.890
INFO:root:Iteration 679, violation 1.847
INFO:root:Iteration 680, violation 1.801
INFO:root:Iteration 681, violation 1.752
INFO:root:Iteration 682, violation 1.699
INFO:root:Iteration 683, violation 1.645
INFO:root:Iteration 684, violation 1.587
INFO:root:Iteration 685, violation 1.528
INFO:root:Iteration 686, violation 1.467
INFO:root:Iteration 687, violation 1.405
INFO:root:Iteration 688, violation 1.345
INFO:root:Iteration 689, violation 1.369
INFO:root:Iteration 690, violation 1.392
INFO:root:Iteration 691, violation 1.416
